event	block_id	planned_duration_s	epoch_ms	wall_time	payload
capture_started	-	0	1775475547782	2026-04-06 14:39:07 EEST	serial/esp32_guided_session.log
block_started	W0	120	1775475724202	2026-04-06 14:42:04 EEST	post-reset technical warm-up and transport sanity check
block_finished	W0	120	1775475844478	2026-04-06 14:44:04 EEST	
block_started	E1	120	1775476028777	2026-04-06 14:47:08 EEST	empty scene repeated baseline
block_finished	E1	120	1775476149039	2026-04-06 14:49:09 EEST	
block_started	S1	120	1775476184485	2026-04-06 14:49:44 EEST	repeated static presence in the controlled path
block_finished	S1	120	1775476304756	2026-04-06 14:51:44 EEST	
block_started	M1	120	1775476317165	2026-04-06 14:51:57 EEST	repeated slow motion in the controlled path
block_finished	M1	120	1775476437431	2026-04-06 14:53:57 EEST	
block_started	E2	120	1775476448978	2026-04-06 14:54:08 EEST	empty scene recovery after the first repeated motion cycle
block_finished	E2	120	1775476569248	2026-04-06 14:56:09 EEST	
block_started	S2	120	1775476590883	2026-04-06 14:56:30 EEST	second repeated static presence in the same controlled path
block_finished	S2	120	1775476711145	2026-04-06 14:58:31 EEST	
block_started	M2	120	1775476719628	2026-04-06 14:58:39 EEST	second repeated slow motion in the same controlled path
block_finished	M2	120	1775476839899	2026-04-06 15:00:39 EEST	
block_started	E3	120	1775476849355	2026-04-06 15:00:49 EEST	final empty recovery after the repeatability run
block_finished	E3	120	1775476969608	2026-04-06 15:02:49 EEST	
capture_finished	-	0	1775476979559	2026-04-06 15:02:59 EEST	serial/esp32_guided_session.log
