block_id	duration_s	human_present	scenario	objective	instructions
W0	180	no	three-node and maintenance warm-up	confirm that sensing, controller, and protected-traffic sidecars remain active before the long measured horizon begins	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
E1	240	no	long empty-scene reference under light protected traffic	establish the initial stability baseline before adaptation cycles	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
S1	180	yes	first static presence period	trigger the first controller adaptation cycle under light service load	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
M1	180	yes	first slow motion period	observe whether the controller settles after the first moving disturbance	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
E2	240	no	first empty recovery window	measure how quickly the maintenance layer stabilizes after the first cycle	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
S2	180	yes	second static presence period	repeat the disturbance after an initial maintenance phase	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
M2	180	yes	second slow motion period	compare churn against the first motion cycle	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
E3	240	no	second empty recovery window	observe longer maintenance behavior after multiple adaptations	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
S3	180	yes	third static presence period	continue the long-horizon disturbance sequence without resetting the session	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
M3	180	yes	third slow motion period	extend the controller trace into late-session motion behavior	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
E4	240	no	third empty recovery window	inspect whether late-session empty recovery shows reduced reconfiguration churn	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
S4	180	yes	fourth static presence period	verify that maintenance behavior remains stable after prolonged runtime	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
M4	180	yes	fourth slow motion period	collect the last repeated moving disturbance for long-horizon comparison	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
E5	240	no	fourth empty recovery window	measure stability after the final repeated disturbance cycle	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
S5	180	yes	late-session static confirmation	confirm the maintenance layer still reacts cleanly near the end of the session	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
M5	180	yes	late-session motion confirmation	provide one final motion interval before the closing stability window	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
E6	300	no	final long empty maintenance window	close the session with an explicit late-stage stability window for churn and continuity analysis	Keep the corrected D07-D10 physical topology unchanged for this block.;;Do not move APs, sensors, helper hosts, power supplies, or cables.;;Record any visible topology disturbance immediately in the operator notes.
